image_id,image_file,x,y,density,Y_Target,Grid_ID,mask_keep
603,site3_665.png,256,128,0.146484375,1,603_256_128,True
2423,site12_19.png,0,0,0.0,0,2423_0_0,False
3024,site13_8.png,128,256,0.10955810546875,1,3024_128_256,True
493,site3_540.png,512,128,0.0067138671875,0,493_512_128,True
2073,site14_112.png,0,128,0.55859375,2,2073_0_128,True
2563,site12_169.png,256,0,0.0,0,2563_256_0,False
1010,site5_172.png,512,0,0.48822021484375,2,1010_512_0,True
3656,site11_391.png,128,512,0.0,0,3656_128_512,False
3105,site13_118.png,128,128,0.0546875,1,3105_128_128,True
1035,site5_200.png,0,512,0.23876953125,1,1035_0_512,True
2618,site17_29.png,512,256,0.0,0,2618_512_256,False
1936,site9_47.png,512,128,0.355712890625,1,1936_512_128,True
3148,site13_168.png,0,0,1.0,2,3148_0_0,True
1039,site5_204.png,128,256,0.75677490234375,2,1039_128_256,True
3047,site13_47.png,0,256,1.0,2,3047_0_256,True
1764,site6_953.png,384,0,0.0,0,1764_384_0,False
291,site3_321.png,128,512,0.9921875,2,291_128_512,True
4568,site16_512.png,128,256,0.24957275390625,1,4568_128_256,True
3025,site13_16.png,0,512,0.212646484375,1,3025_0_512,True
2182,site14_233.png,256,256,0.508544921875,2,2182_256_256,True
1053,site5_220.png,384,512,0.78546142578125,2,1053_384_512,True
2657,site17_74.png,256,256,0.0447998046875,0,2657_256_256,True
1649,site6_795.png,0,384,0.0,0,1649_0_384,False
2207,site14_264.png,512,256,0.52728271484375,2,2207_512_256,True
270,site3_299.png,256,384,0.0849609375,1,270_256_384,True
1546,site6_659.png,128,512,0.02996826171875,0,1546_128_512,True
1205,site6_198.png,512,512,0.0,0,1205_512_512,False
950,site5_105.png,512,256,0.0,0,950_512_256,False
760,site4_81.png,128,256,0.0,0,760_128_256,False
1597,site6_726.png,128,512,0.0,0,1597_128_512,False
3106,site13_119.png,128,128,0.0,0,3106_128_128,False
3162,site13_186.png,256,384,0.0,0,3162_256_384,False
2441,site12_38.png,128,512,0.10540771484375,1,2441_128_512,True
4376,site16_303.png,384,384,0.248779296875,1,4376_384_384,True
1060,site5_227.png,384,384,0.0389404296875,0,1060_384_384,True
2652,site17_69.png,384,128,0.7265625,2,2652_384_128,True
3070,site13_75.png,128,128,1.0,2,3070_128_128,True
2439,site12_36.png,256,0,0.0,0,2439_256_0,False
1605,site6_743.png,256,384,0.0,0,1605_256_384,False
1003,site5_165.png,0,256,0.02703857421875,0,1003_0_256,True
