Grid_ID,image_file,Y_Target
site3_26.png_X0_Y0,site3_26.png,0
site3_26.png_X256_Y0,site3_26.png,0
site3_26.png_X0_Y256,site3_26.png,0
site3_26.png_X256_Y256,site3_26.png,0
site3_56.png_X0_Y0,site3_56.png,0
site3_56.png_X256_Y0,site3_56.png,0
site3_56.png_X0_Y256,site3_56.png,0
site3_56.png_X256_Y256,site3_56.png,0
site3_81.png_X0_Y0,site3_81.png,0
site3_81.png_X256_Y0,site3_81.png,0
site3_81.png_X0_Y256,site3_81.png,0
site3_81.png_X256_Y256,site3_81.png,0
site3_82.png_X0_Y0,site3_82.png,0
site3_82.png_X256_Y0,site3_82.png,0
site3_82.png_X0_Y256,site3_82.png,1
site3_82.png_X256_Y256,site3_82.png,0
site3_112.png_X0_Y0,site3_112.png,0
site3_112.png_X256_Y0,site3_112.png,1
site3_112.png_X0_Y256,site3_112.png,1
site3_112.png_X256_Y256,site3_112.png,1
site3_113.png_X0_Y0,site3_113.png,2
site3_113.png_X256_Y0,site3_113.png,1
site3_113.png_X0_Y256,site3_113.png,1
site3_113.png_X256_Y256,site3_113.png,0
site3_117.png_X0_Y0,site3_117.png,0
site3_117.png_X256_Y0,site3_117.png,1
site3_117.png_X0_Y256,site3_117.png,0
site3_117.png_X256_Y256,site3_117.png,0
site3_143.png_X0_Y0,site3_143.png,0
site3_143.png_X256_Y0,site3_143.png,2
site3_143.png_X0_Y256,site3_143.png,0
site3_143.png_X256_Y256,site3_143.png,0
site3_144.png_X0_Y0,site3_144.png,0
site3_144.png_X256_Y0,site3_144.png,1
site3_144.png_X0_Y256,site3_144.png,0
site3_144.png_X256_Y256,site3_144.png,0
site3_206.png_X0_Y0,site3_206.png,0
site3_206.png_X256_Y0,site3_206.png,0
site3_206.png_X0_Y256,site3_206.png,1
site3_206.png_X256_Y256,site3_206.png,1
site3_236.png_X0_Y0,site3_236.png,0
site3_236.png_X256_Y0,site3_236.png,0
site3_236.png_X0_Y256,site3_236.png,1
site3_236.png_X256_Y256,site3_236.png,0
site3_237.png_X0_Y0,site3_237.png,0
site3_237.png_X256_Y0,site3_237.png,1
site3_237.png_X0_Y256,site3_237.png,0
site3_237.png_X256_Y256,site3_237.png,1
site3_266.png_X0_Y0,site3_266.png,0
site3_266.png_X256_Y0,site3_266.png,0
site3_266.png_X0_Y256,site3_266.png,0
site3_266.png_X256_Y256,site3_266.png,0
site3_267.png_X0_Y0,site3_267.png,1
site3_267.png_X256_Y0,site3_267.png,0
site3_267.png_X0_Y256,site3_267.png,1
site3_267.png_X256_Y256,site3_267.png,0
site3_268.png_X0_Y0,site3_268.png,0
site3_268.png_X256_Y0,site3_268.png,0
site3_268.png_X0_Y256,site3_268.png,0
site3_268.png_X256_Y256,site3_268.png,0
site3_292.png_X0_Y0,site3_292.png,0
site3_292.png_X256_Y0,site3_292.png,0
site3_292.png_X0_Y256,site3_292.png,0
site3_292.png_X256_Y256,site3_292.png,0
site3_294.png_X0_Y0,site3_294.png,0
site3_294.png_X256_Y0,site3_294.png,0
site3_294.png_X0_Y256,site3_294.png,0
site3_294.png_X256_Y256,site3_294.png,0
site3_298.png_X0_Y0,site3_298.png,1
site3_298.png_X256_Y0,site3_298.png,1
site3_298.png_X0_Y256,site3_298.png,2
site3_298.png_X256_Y256,site3_298.png,1
site3_299.png_X0_Y0,site3_299.png,1
site3_299.png_X256_Y0,site3_299.png,0
site3_299.png_X0_Y256,site3_299.png,0
