Grid_ID,X1_Entropy,X2_Contrast,X3_Homogeneity,X4_Energy,X5_Correlation,X6_Indeks_ExG,X7_Indeks_ExR,X8_Indeks_ExGR,kepadatan,Y_Target
site3_26.png_X0_Y0,8.293796029267718,93.31973779616116,0.4504482680974921,0.3336774134449907,0.9858777419428044,29.150574,0.037333425,0.060133584,0.0,0
site3_26.png_X256_Y0,6.882102033643144,96.5820344338747,0.5780528147582245,0.4709527685531215,0.9890381366704866,17.965103,0.045084883,0.010130331,0.0,0
site3_26.png_X0_Y256,12.031336329388656,168.45844241098524,0.1501396564841847,0.0201898393462449,0.9069330689116673,28.492996,0.09209545,0.0005235188,0.0,0
site3_26.png_X256_Y256,11.24746654290904,90.3474217848958,0.2051191324045914,0.0272774408529016,0.9496188698696276,51.595642,0.017313516,0.16598344,0.0187530517578125,0
site3_56.png_X0_Y0,12.306058145257165,228.08270900916023,0.1243625514661222,0.0176817878903739,0.8281309103958324,61.0383,0.04393562,0.16162468,0.0,0
site3_56.png_X256_Y0,11.84970206077692,105.51977474109248,0.1893156036063478,0.0216019422920739,0.9503540509332736,47.95262,-0.021426074,0.26220053,0.0,0
site3_56.png_X0_Y256,11.940818093613728,179.3363992064441,0.1158607384749865,0.0202361600264062,0.8182893460565501,57.556534,0.041869357,0.15962847,0.0,0
site3_56.png_X256_Y256,12.844509776359583,213.4452171190223,0.1238219693389895,0.0145458152781131,0.9345353849033652,39.291702,0.049550448,0.12856469,0.0,0
site3_81.png_X0_Y0,14.27678397979797,995.2164236712468,0.0556535924879766,0.0082495561839002,0.8512471456202968,60.28981,0.009554608,0.24080414,0.0,0
site3_81.png_X256_Y0,14.36490891132748,1159.051792039208,0.0537962106629398,0.0080818078975508,0.8415502002739264,69.77144,-0.0056762146,0.28205362,0.0,0
site3_81.png_X0_Y256,14.18770516410016,1001.3517711036478,0.0516680138237668,0.0082923576404456,0.7972748411786276,60.537445,0.07338183,0.09668504,0.0,0
site3_81.png_X256_Y256,14.47498456244102,1307.5101026047312,0.0450374913613017,0.0072835381787019,0.7832198047746101,67.69153,0.04113099,0.15825841,0.02691650390625,0
site3_82.png_X0_Y0,14.07031442241676,717.7604072201807,0.0552875095509676,0.0084659186828057,0.8525231364580823,59.179306,0.03683342,0.13560335,0.0,0
site3_82.png_X256_Y0,13.890970466565804,710.2840491487877,0.0572830981367007,0.0091655520083232,0.815255158667346,55.402527,0.00092873874,0.20203136,0.0,0
site3_82.png_X0_Y256,14.101320218363952,735.7752151966477,0.0629575003331033,0.0085817007990536,0.8803554306400829,59.573853,0.0660693,0.0908611,0.0632476806640625,1
site3_82.png_X256_Y256,13.703282537264126,536.8028480632598,0.0651906123281117,0.0097260308684886,0.8542749662314139,60.698166,0.033809613,0.15540011,0.014434814453125,0
site3_112.png_X0_Y0,12.94381752325816,400.267199484574,0.0708926302273823,0.0133497312162593,0.7580765105420267,49.93167,0.14405853,-0.03942748,0.0465240478515625,0
site3_112.png_X256_Y0,13.244378691326473,435.0844014020933,0.0978781082921575,0.0146515166277756,0.8927756912053435,34.909683,0.14116177,-0.066830136,0.2047271728515625,1
site3_112.png_X0_Y256,13.28416171213006,435.8993422601809,0.0852454753929762,0.0123826856136079,0.8608368532155531,41.153122,0.14426383,-0.05486256,0.0635833740234375,1
site3_112.png_X256_Y256,12.977047515025172,367.9598102442542,0.0846989267701512,0.0136759252454631,0.827141159029681,41.1653,0.14850125,-0.06350537,0.05535888671875,1
site3_113.png_X0_Y0,12.266733881711652,238.92712404784265,0.1427969471387006,0.0305913575700382,0.8786629461794947,24.746124,0.15002215,-0.10525428,0.4920806884765625,2
site3_113.png_X256_Y0,12.331975251732596,164.4646302053331,0.1111275710970967,0.0164280809246157,0.8899830387509804,20.499344,0.16077487,-0.1168624,0.0538177490234375,1
site3_113.png_X0_Y256,12.42028136765876,185.12631418805483,0.1164739651588367,0.0162651410907656,0.89354900016258,22.12616,0.1663366,-0.12479257,0.058197021484375,1
site3_113.png_X256_Y256,12.89272193403932,205.41971615484687,0.0948255757801024,0.0132020864261234,0.9199754254940916,36.22502,0.13740468,-0.034886494,0.00286865234375,0
site3_117.png_X0_Y0,13.184316368091595,453.6308983774278,0.0684224930916606,0.0118322949786189,0.7720720885168315,75.93002,-0.019766878,0.3339273,0.0,0
site3_117.png_X256_Y0,13.1186283350942,357.7071259701858,0.0747389223090664,0.0125570020219723,0.8430853366521739,44.209976,0.073436126,0.07270816,0.0809783935546875,1
site3_117.png_X0_Y256,13.173904148383023,367.5782630929293,0.0803739251771184,0.0122740200173422,0.856855984639241,41.458862,0.092322685,0.05563039,0.0,0
site3_117.png_X256_Y256,12.3662579366954,193.0248764898163,0.0999417616936229,0.0162411285372434,0.8558298494883498,19.343857,0.14542636,-0.093423896,0.0,0
site3_143.png_X0_Y0,12.828707025429113,338.64022710616047,0.08765881356811,0.0139433825242408,0.8146248047433403,38.026672,0.15283668,-0.07813948,0.004302978515625,0
site3_143.png_X256_Y0,11.698037770034006,221.1251281508319,0.1782823804676872,0.047769079123202,0.8549913193152017,17.317719,0.15559022,-0.12622201,0.462310791015625,2
site3_143.png_X0_Y256,13.089976665397884,342.3710711625321,0.0858221028671661,0.0126787656014314,0.865463045670364,38.6942,0.15096784,-0.065937564,0.0,0
site3_143.png_X256_Y256,12.435413966026838,262.6759871653943,0.1004883477767844,0.0160306250202439,0.7991075774254235,24.508224,0.15723443,-0.11305998,0.0,0
site3_144.png_X0_Y0,12.914375003934069,181.33585764790757,0.1321242163824557,0.0147509115352182,0.974324850353144,24.406937,0.104829445,-0.014388859,0.0,0
site3_144.png_X256_Y0,12.9461735766302,335.87000785458406,0.1385311122310102,0.015317994092653,0.932503512933115,29.190674,0.027377686,0.11902815,0.108551025390625,1
site3_144.png_X0_Y256,13.366380831301472,300.2279450812282,0.1090184285578793,0.0118665092693556,0.9542432582121616,19.376495,0.10580535,-0.033809975,0.0,0
